formula,actual,predicted,elements,residual
RbMoPO6,1.95,1.983364134,"['Rb', 'Mo', 'P', 'O']",-0.033364134
CaTe,0.36,0.290409041,"['Ca', 'Te']",0.069590959
K3Ta2AsSe11,2.44,2.098332424,"['K', 'Ta', 'As', 'Se']",0.341667576
CaB6,5.69,3.544429492,"['Ca', 'B']",2.145570508
CoP3,2.2,2.031270054,"['Co', 'P']",0.168729946
AgInTe2,1.5,1.557508351,"['Ag', 'In', 'Te']",-0.057508351
Cs2Cd3B16O28,1.18,1.001966894,"['Cs', 'Cd', 'B', 'O']",0.178033106
Cu3YbSe3,3.9,3.091151213,"['Cu', 'Yb', 'Se']",0.808848787
AgAlTe2,0.035,0.1279492,"['Ag', 'Al', 'Te']",-0.0929492
OsP2,1.9,2.261580349,"['Os', 'P']",-0.361580349
LiH3Se2O6,7.725,7.486773004,"['Li', 'H', 'Se', 'O']",0.238226996
AlN,6.89,6.033343363,"['Al', 'N']",0.856656637
Na7Co2O6,3.2,3.202444729,"['Na', 'Co', 'O']",-0.002444729
PtAs2,2.84,2.458335982,"['Pt', 'As']",0.381664018
K2Sb8Se3,4.45,3.33290546,"['K', 'Sb', 'Se']",1.11709454
Y6ZnSi2S14,1.196727273,1.269547991,"['Y', 'Zn', 'Si', 'S']",-0.072820719
Ge0.838Si0.162,2.16,1.502039249,"['Ge', 'Si']",0.657960751
CsYZnSe3,2.04,2.795790925,"['Cs', 'Y', 'Zn', 'Se']",-0.755790925
Ag4Ba6Sn4S16,1.5,1.163182583,"['Ag', 'Ba', 'Sn', 'S']",0.336817417
CuInS2,2.3,2.399817762,"['Cu', 'In', 'S']",-0.099817762
Hg2Cu3Te6O16,0.55,2.830587481,"['Hg', 'Cu', 'Te', 'O']",-2.280587481
Pb2GeSe4O12,1.12,2.022885868,"['Pb', 'Ge', 'Se', 'O']",-0.902885868
EuTb2Se4,2.64,1.942283288,"['Eu', 'Tb', 'Se']",0.697716712
InSb2Se4Br,2.4,1.569479618,"['In', 'Sb', 'Se', 'Br']",0.830520382
Ce15B8N25,6.074,5.681728027,"['Ce', 'B', 'N']",0.392271973
Cs2PdSe8,1.2,1.1082638,"['Cs', 'Pd', 'Se']",0.0917362
GaVTe2O8,2.59,2.351387762,"['Ga', 'V', 'Te', 'O']",0.238612238
KCuThS3,0.32,2.425403414,"['K', 'Cu', 'Th', 'S']",-2.105403414
LaB6,1.08,1.121145937,"['La', 'B']",-0.041145937
In0.6As0.6Ga0.4P0.4,3.26,2.99824468,"['In', 'As', 'Ga', 'P']",0.26175532
Li2ZnGeSe4,1.98,0.587062902,"['Li', 'Zn', 'Ge', 'Se']",1.392937098
AgIn5S8,0.88,0.939123409,"['Ag', 'In', 'S']",-0.059123409
Ba2ScTaO6,0.15,0.841322622,"['Ba', 'Sc', 'Ta', 'O']",-0.691322622
Cs6.40Na1.60Ga8Ge38,1.2,0.814652872,"['Cs', 'Na', 'Ga', 'Ge']",0.385347128
KCu3S2,7.843333333,7.429771067,"['K', 'Cu', 'S']",0.413562266
CdSe,3.45,3.06797587,"['Cd', 'Se']",0.38202413
LiGd5P2O13,0.11,0.44035344,"['Li', 'Gd', 'P', 'O']",-0.33035344
Bi2AsO4Cl,0.71,0.634256801,"['Bi', 'As', 'O', 'Cl']",0.075743199
Pb0.995TeGa0.005,0.39,0.406044389,"['Pb', 'Te', 'Ga']",-0.016044389
Ta1.33Zr0.67O0.12N3.03,2.4,2.677748042,"['Ta', 'Zr', 'O', 'N']",-0.277748042
RhSSe,1.62,1.638942841,"['Rh', 'S', 'Se']",-0.018942841
ZnSnP2,1.92,1.8092582,"['Zn', 'Sn', 'P']",0.1107418
CaMg2N2,0.13,1.297846055,"['Ca', 'Mg', 'N']",-1.167846055
SiAs,1.8,0.962835603,"['Si', 'As']",0.837164397
NH6PO4,3.08,2.772723722,"['N', 'H', 'P', 'O']",0.307276278
Bi3F3I4O13,1.9,1.147590268,"['Bi', 'F', 'I', 'O']",0.752409732
CsSbS2,0.208,0.233618908,"['Cs', 'Sb', 'S']",-0.025618908
Li4Cs3B7O14,3.4,3.627979056,"['Li', 'Cs', 'B', 'O']",-0.227979056
Na2Mo2Se2O11,0.45,1.25477513,"['Na', 'Mo', 'Se', 'O']",-0.80477513
Pr2GeSe5,2.06,3.30359888,"['Pr', 'Ge', 'Se']",-1.24359888
CoAs3,2.433333333,1.990948444,"['Co', 'As']",0.442384889
Cs2AgBiBr6,0.3,0.373211582,"['Cs', 'Ag', 'Bi', 'Br']",-0.073211582
DyB6,1.99,2.175184165,"['Dy', 'B']",-0.185184165
Ga0.5As0.5Zn0.5Se0.5,1.47,2.568466756,"['Ga', 'As', 'Zn', 'Se']",-1.098466756
Ce4InSbSe9,1.79,1.48745055,"['Ce', 'In', 'Sb', 'Se']",0.30254945
Mg2Ge,0.6,0.804970886,"['Mg', 'Ge']",-0.204970886
Bi25FeO39,0.64,1.567855736,"['Bi', 'Fe', 'O']",-0.927855736
Ca3B2N4,3.7,4.067567925,"['Ca', 'B', 'N']",-0.367567925
Rb2CuNbS4,2.34,4.046317442,"['Rb', 'Cu', 'Nb', 'S']",-1.706317442
SbI3,1.39,1.834588128,"['Sb', 'I']",-0.444588128
Cd5Ga2S2Te6,1.66,1.976944268,"['Cd', 'Ga', 'S', 'Te']",-0.316944268
Ca10Ge16B6O51,0.43,1.017397956,"['Ca', 'Ge', 'B', 'O']",-0.587397956
CsYTe3O8,2,1.20048652,"['Cs', 'Y', 'Te', 'O']",0.79951348
AgSbTe2,2.85,2.653065861,"['Ag', 'Sb', 'Te']",0.196934139
Dy3GaS6,2.03,2.088950665,"['Dy', 'Ga', 'S']",-0.058950665
K9Bi13S24,4.68,3.992275389,"['K', 'Bi', 'S']",0.687724611
KPSe6,2,1.920069726,"['K', 'P', 'Se']",0.079930274
K2CuGa3Se6,0.5,0.504387266,"['K', 'Cu', 'Ga', 'Se']",-0.004387266
Pb0.75Sn0.25Te,1.42,1.635258893,"['Pb', 'Sn', 'Te']",-0.215258893
KGaSe2,0.7,1.501538868,"['K', 'Ga', 'Se']",-0.801538868
BaReH9,0.54,0.443390786,"['Ba', 'Re', 'H']",0.096609214
RbCaBO3,3.12,2.583621815,"['Rb', 'Ca', 'B', 'O']",0.536378185
Ba8Sn4S15,3.46,3.469285435,"['Ba', 'Sn', 'S']",-0.009285435
Li2CdSnS4,0.8,1.013198175,"['Li', 'Cd', 'Sn', 'S']",-0.213198175
Tl4CuTeO6,2.05,1.739917245,"['Tl', 'Cu', 'Te', 'O']",0.310082755
Ba2GaBiSe5,6.975,6.190852996,"['Ba', 'Ga', 'Bi', 'Se']",0.784147004
SmAs,1.02,0.945310857,"['Sm', 'As']",0.074689143
PbI2,2.613333333,1.811258152,"['Pb', 'I']",0.802075181
Pb0.85Sn0.15Se,0.44,0.331687008,"['Pb', 'Sn', 'Se']",0.108312992
Ga0.58As0.58Zn0.42Se0.42,2.25,2.302095302,"['Ga', 'As', 'Zn', 'Se']",-0.052095302
La2BaTe5O14,0.54,0.331752965,"['La', 'Ba', 'Te', 'O']",0.208247035
Li2B12Si2,2.4,2.555118953,"['Li', 'B', 'Si']",-0.155118953
Cu0.5Pb1.75GeS4,0.3,0.441492946,"['Cu', 'Pb', 'Ge', 'S']",-0.141492946
GaAs0.15Sb0.85,0.2,0.503437608,"['Ga', 'As', 'Sb']",-0.303437608
TlHg6S4Br5,1.273333333,1.446571537,"['Tl', 'Hg', 'S', 'Br']",-0.173238203
Ga2Se3,3.12,2.737140427,"['Ga', 'Se']",0.382859573
TlSbS2,7.745,6.826773828,"['Tl', 'Sb', 'S']",0.918226172
Zn2MoTeO7,1.182777778,1.288895655,"['Zn', 'Mo', 'Te', 'O']",-0.106117877
PbCdP4O12,1.555,2.309763277,"['Pb', 'Cd', 'P', 'O']",-0.754763277
GaAs0.7Sb0.3,3.38,3.951632616,"['Ga', 'As', 'Sb']",-0.571632616
Cs2Cd3Te4,1.92,1.940282747,"['Cs', 'Cd', 'Te']",-0.020282747
CsInGeSe4,2.5,1.20042639,"['Cs', 'In', 'Ge', 'Se']",1.29957361
CeFMoO4,5.6,5.940469511,"['Ce', 'F', 'Mo', 'O']",-0.340469511
AgF,1.65,2.098728977,"['Ag', 'F']",-0.448728977
Tl2O3,3.64,4.208627877,"['Tl', 'O']",-0.568627877
CdMoSb4O10,0.46,0.974625351,"['Cd', 'Mo', 'Sb', 'O']",-0.514625351
Er2O3,2,1.43360462,"['Er', 'O']",0.56639538
La2Ga2GeS8,2.475,2.413781731,"['La', 'Ga', 'Ge', 'S']",0.061218269
Ba3V2Se4O16,1.35,1.264666774,"['Ba', 'V', 'Se', 'O']",0.085333226
Sm2O3,2.2,2.170346731,"['Sm', 'O']",0.029653269
TbIn3S6,2.84,3.098630787,"['Tb', 'In', 'S']",-0.258630787
BaIn2S4,1.092,0.825027466,"['Ba', 'In', 'S']",0.266972534
La2MnNiO6,0.94,0.844910084,"['La', 'Mn', 'Ni', 'O']",0.095089916
La4FeSb2S10,0.18,1.367151677,"['La', 'Fe', 'Sb', 'S']",-1.187151677
GaAs0.3P0.7,2.0585,1.722911076,"['Ga', 'As', 'P']",0.335588924
NdCuOS,0.14,0.19357974,"['Nd', 'Cu', 'O', 'S']",-0.05357974
MoO3,2,3.226465094,"['Mo', 'O']",-1.226465094
Ag2S,3.89,3.822953104,"['Ag', 'S']",0.067046896
Ba3La3Cu6O14,4.77,5.193788493,"['Ba', 'La', 'Cu', 'O']",-0.423788493
Tl3VS4,1.61,1.80235894,"['Tl', 'V', 'S']",-0.19235894
Tl2AuPS4,3.25,3.171251829,"['Tl', 'Au', 'P', 'S']",0.078748171
LiGaTe2,2.015,1.593176385,"['Li', 'Ga', 'Te']",0.421823615
OsSbSe,1.33,1.765591601,"['Os', 'Sb', 'Se']",-0.435591601
Ba2V2Te2O11,2.64,2.898989209,"['Ba', 'V', 'Te', 'O']",-0.258989209
FeSc2,0.12,0.948267815,"['Fe', 'Sc']",-0.828267815
LaMg2PdH7,0.88,1.061322059,"['La', 'Mg', 'Pd', 'H']",-0.181322059
Ga0.75P0.75Zn0.25Se0.25,5.51,4.868807653,"['Ga', 'P', 'Zn', 'Se']",0.641192347
LaGaS3,0.4,0.480945562,"['La', 'Ga', 'S']",-0.080945562
NaSbP2S6,0.3,0.155302109,"['Na', 'Sb', 'P', 'S']",0.144697891
Cd3BiP3O12,1.84,1.834902748,"['Cd', 'Bi', 'P', 'O']",0.005097252
BaB2O4,1.4,1.442712086,"['Ba', 'B', 'O']",-0.042712086
Cu0.3Ga1.7S2.7,0.31,1.122371707,"['Cu', 'Ga', 'S']",-0.812371707
K2Cd2Te3,1.126,0.795400368,"['K', 'Cd', 'Te']",0.330599632
Pr2Te4O11,3.25,2.362620912,"['Pr', 'Te', 'O']",0.887379088
CsI,0.17,0.2711035,"['Cs', 'I']",-0.1011035
La2CoVO6,2.75,2.85512819,"['La', 'Co', 'V', 'O']",-0.10512819
La4Cd4In2S13,4.9,3.543640542,"['La', 'Cd', 'In', 'S']",1.356359458
TlPSe2,3.1,5.450172617,"['Tl', 'P', 'Se']",-2.350172617
TiTe2,0.43,0.354791088,"['Ti', 'Te']",0.075208912
CsPbPO4,1.4,1.62151518,"['Cs', 'Pb', 'P', 'O']",-0.22151518
Na2BaGeSe4,0.18,1.327510462,"['Na', 'Ba', 'Ge', 'Se']",-1.147510462
GaSb,1.915,2.045752061,"['Ga', 'Sb']",-0.130752061
NaCd4P3,1.3,1.43452472,"['Na', 'Cd', 'P']",-0.13452472
Ag0.4Cd0.5In2.2Te4,5.743333333,4.193137182,"['Ag', 'Cd', 'In', 'Te']",1.550196151
Ba2SnSe5,2.54,2.60654237,"['Ba', 'Sn', 'Se']",-0.06654237
BaGa4Se7,0.32,0.936559144,"['Ba', 'Ga', 'Se']",-0.616559144
Cd6P7,4.77,4.645081879,"['Cd', 'P']",0.124918121
Ag2Ga2SiS6,1.8,1.183912502,"['Ag', 'Ga', 'Si', 'S']",0.616087498
Pb2BiS2I3,0.486666667,0.932388817,"['Pb', 'Bi', 'S', 'I']",-0.44572215
V2O4,2.46,3.404874058,"['V', 'O']",-0.944874058
Pb0.77Sn0.23Te,2.75,2.129143535,"['Pb', 'Sn', 'Te']",0.620856465
Ga1.005Sb0.995Te0.015,0.17,1.016179378,"['Ga', 'Sb', 'Te']",-0.846179378
AgInO2,2.385,2.825428561,"['Ag', 'In', 'O']",-0.440428561
Ba5In4Te4S7,3.79,3.314475492,"['Ba', 'In', 'Te', 'S']",0.475524508
K2Mo2Se2O11,2.9,2.776500725,"['K', 'Mo', 'Se', 'O']",0.123499275
NdLuSe3,2.3,2.492905797,"['Nd', 'Lu', 'Se']",-0.192905797
TiS3,0.25,0.255370068,"['Ti', 'S']",-0.005370068
Ag2.7Ba6Sn4.3S16,6.89,6.469611942,"['Ag', 'Ba', 'Sn', 'S']",0.420388058
RbAg2SbS4,1.873333333,1.214703534,"['Rb', 'Ag', 'Sb', 'S']",0.658629799
K10Zn4Sn4S17,2.6,1.964797149,"['K', 'Zn', 'Sn', 'S']",0.635202851
AgAsTe2,1.9,2.791056227,"['Ag', 'As', 'Te']",-0.891056227
AgS,0.8,0.820461585,"['Ag', 'S']",-0.020461585
KI,0.59,0.341858876,"['K', 'I']",0.248141124
Ba3Dy2P4S16,2.98,1.805206777,"['Ba', 'Dy', 'P', 'S']",1.174793223
Bi7F11O5,3.6,2.114476905,"['Bi', 'F', 'O']",1.485523095
RbCu2AsS3,1.7,1.915144709,"['Rb', 'Cu', 'As', 'S']",-0.215144709
Bi2Te1.2Se1.8,5.42,5.006009922,"['Bi', 'Te', 'Se']",0.413990078
Tl2GeTe3,4.44,4.159046849,"['Tl', 'Ge', 'Te']",0.280953151
Zn0.2Ba2B2S5.2,0.85,0.495851518,"['Zn', 'Ba', 'B', 'S']",0.354148482
Nd2Se3,0.42,0.378760235,"['Nd', 'Se']",0.041239765
GaGeTe,1.76,1.558712265,"['Ga', 'Ge', 'Te']",0.201287735
Cu0.2Ga1.8Se2.8,2.07,2.059561472,"['Cu', 'Ga', 'Se']",0.010438528
Pr1.29Lu0.71S3,2.7,2.468329544,"['Pr', 'Lu', 'S']",0.231670456
Tb2O3,0.12,0.172681522,"['Tb', 'O']",-0.052681522
CdS0.8Se0.2,1,1.422977717,"['Cd', 'S', 'Se']",-0.422977717
Pb2Nb2Se4O15,2.06,1.486020899,"['Pb', 'Nb', 'Se', 'O']",0.573979101
PbTe0.01Se0.99,1.5324,1.551858361,"['Pb', 'Te', 'Se']",-0.019458361
Rb8Ga8Si38,1.34,1.329946905,"['Rb', 'Ga', 'Si']",0.010053095
LiInTe2,2.34,4.758041987,"['Li', 'In', 'Te']",-2.418041987
BaAl4Se7,4.76,4.709375625,"['Ba', 'Al', 'Se']",0.050624375
Cs2Cu3DyTe4,1.165,1.21408587,"['Cs', 'Cu', 'Dy', 'Te']",-0.04908587
PbSbO2Br,2.35,2.425891747,"['Pb', 'Sb', 'O', 'Br']",-0.075891747
Ga2Te3O9,1.35,1.489450399,"['Ga', 'Te', 'O']",-0.139450399
Ba3ThSe7,1.459,1.606035907,"['Ba', 'Th', 'Se']",-0.147035907
AsSI,2.64,2.603467699,"['As', 'S', 'I']",0.036532301
Cs2CuNbSe4,5.47,4.612453467,"['Cs', 'Cu', 'Nb', 'Se']",0.857546533
Ba2AgInS4,2.81,2.96982161,"['Ba', 'Ag', 'In', 'S']",-0.15982161
Pb0.94Se0.94Ge0.06Te0.06,2.31,2.374914086,"['Pb', 'Se', 'Ge', 'Te']",-0.064914086
Eu2Ga2GeS7,2.2,1.917368115,"['Eu', 'Ga', 'Ge', 'S']",0.282631885
Cu3SmTe3,1.67,1.554879145,"['Cu', 'Sm', 'Te']",0.115120855
BaLa2In2S7,2.2,1.820458737,"['Ba', 'La', 'In', 'S']",0.379541263
Zn0.3S0.3Ga0.7P0.7,0.77,0.445993051,"['Zn', 'S', 'Ga', 'P']",0.324006949
Eu1.83Ta15O32,2.25,2.262550666,"['Eu', 'Ta', 'O']",-0.012550666
Eu3Se4,4.2,1.754057615,"['Eu', 'Se']",2.445942385
CuZn2InSe4,1.141428571,1.691603837,"['Cu', 'Zn', 'In', 'Se']",-0.550175265
In0.6Al0.4P,0.365,0.749499896,"['In', 'Al', 'P']",-0.384499896
CuIn3Se5,3,5.246367298,"['Cu', 'In', 'Se']",-2.246367298
BiOCl,1.96,1.733424845,"['Bi', 'O', 'Cl']",0.226575155
Cu2Te,2.3,2.619430982,"['Cu', 'Te']",-0.319430982
RbYbZnSe3,1.87,2.424473351,"['Rb', 'Yb', 'Zn', 'Se']",-0.554473351
PdTe2,3.455,3.320622926,"['Pd', 'Te']",0.134377074
Ag2ZnSiS4,2.12,1.780511745,"['Ag', 'Zn', 'Si', 'S']",0.339488255
In4As5O12Br3,1.2,1.20665642,"['In', 'As', 'O', 'Br']",-0.00665642
CdSnAs2,1.3,1.362740871,"['Cd', 'Sn', 'As']",-0.062740871
HgBrCl,3.3,2.953334902,"['Hg', 'Br', 'Cl']",0.346665098
Rb3Ta2AsS11,1.368835,1.301226764,"['Rb', 'Ta', 'As', 'S']",0.067608236
BaSn2S5,3.97,4.55857438,"['Ba', 'Sn', 'S']",-0.58857438
TiC0.9,0.257,0.320303782,"['Ti', 'C']",-0.063303782
Nd3Te4,0.66,0.700216704,"['Nd', 'Te']",-0.040216704
NdAs,2.7,2.600216533,"['Nd', 'As']",0.099783467
Pb0.9Sn0.1Se,1.375,2.90775764,"['Pb', 'Sn', 'Se']",-1.53275764
Cs2PdP2Se6,1.15,0.585024757,"['Cs', 'Pd', 'P', 'Se']",0.564975243
In0.8P0.8Ga0.2As0.2,0.24,0.232526636,"['In', 'P', 'Ga', 'As']",0.007473364
CuSmSe2,3.82,3.488013158,"['Cu', 'Sm', 'Se']",0.331986842
Ga0.5Al0.5As,2.23,2.080964205,"['Ga', 'Al', 'As']",0.149035795
TlAsS2,2.13,3.43231113,"['Tl', 'As', 'S']",-1.30231113
BaIn2Se4,1.93,1.857671145,"['Ba', 'In', 'Se']",0.072328855
CdGa2Se4,1.3,1.102579285,"['Cd', 'Ga', 'Se']",0.197420715
GaAs0.99Sb0.01,0.6,0.712219651,"['Ga', 'As', 'Sb']",-0.112219651
PSe,0.155,0.431894483,"['P', 'Se']",-0.276894483
Ga0.99Sb0.99Zn0.01Te0.01,3.1,5.380991035,"['Ga', 'Sb', 'Zn', 'Te']",-2.280991035
LiInS2,6.38,5.708083592,"['Li', 'In', 'S']",0.671916408
EuSb2S4,2.64,3.28460977,"['Eu', 'Sb', 'S']",-0.64460977
CdIn2S4,0.8,0.496125809,"['Cd', 'In', 'S']",0.303874191
RbBa2P5O15,0.9,1.111092575,"['Rb', 'Ba', 'P', 'O']",-0.211092575
CeScO3,4.28,4.236366768,"['Ce', 'Sc', 'O']",0.043633232
BaHgSe2,1.45,2.083896141,"['Ba', 'Hg', 'Se']",-0.633896141
BiSBr,10.3,11.9957217,"['Bi', 'S', 'Br']",-1.695721703
Bi2I4O13,0.66,0.90047745,"['Bi', 'I', 'O']",-0.24047745
CuCd2InTe4,3.85,3.502825305,"['Cu', 'Cd', 'In', 'Te']",0.347174695
Hg2I2Te2,6.53,7.017646974,"['Hg', 'I', 'Te']",-0.487646974
Cu1.8S,4.4,3.179621895,"['Cu', 'S']",1.220378105
RhSe3,3.2,3.617263616,"['Rh', 'Se']",-0.417263616
Dy2Mo3O12,0.7,1.653419555,"['Dy', 'Mo', 'O']",-0.953419555
PrCuOS,1.21,1.665455895,"['Pr', 'Cu', 'O', 'S']",-0.455455895
Ag0.5Pb1.75GeS4,1.45,2.069192706,"['Ag', 'Pb', 'Ge', 'S']",-0.619192706
In0.99Al0.01P,2.64,3.065795527,"['In', 'Al', 'P']",-0.425795527
Ga2GeTe3,1.59,1.441607448,"['Ga', 'Ge', 'Te']",0.148392552
K2ZnSn3S8,2.23,2.231372256,"['K', 'Zn', 'Sn', 'S']",-0.001372256
LiI,1.26,2.22173586,"['Li', 'I']",-0.96173586
Sb8O11I2,1.4,1.327823396,"['Sb', 'O', 'I']",0.072176604
Sr3Ti2O7,7.3,8.141084936,"['Sr', 'Ti', 'O']",-0.841084936
Hg0.6Cd0.4Se,0.78,0.782307379,"['Hg', 'Cd', 'Se']",-0.002307379
Eu3P2,1.55,1.297491586,"['Eu', 'P']",0.252508414
SiP,3.59,3.310897532,"['Si', 'P']",0.279102468
ZrNiSb,2,3.363111741,"['Zr', 'Ni', 'Sb']",-1.363111741
PdSe2,3.49,3.51488762,"['Pd', 'Se']",-0.02488762
In0.01P0.01Ga0.99As0.99,2.28,2.124291948,"['In', 'P', 'Ga', 'As']",0.155708052
Ba3Er2P4S16,1.1,0.994667948,"['Ba', 'Er', 'P', 'S']",0.105332052
PbTe0.99Se0.01,2.16,1.669184067,"['Pb', 'Te', 'Se']",0.490815933
Pb0.999Sn0.001Te,1.76,1.652736707,"['Pb', 'Sn', 'Te']",0.107263293
Pb0.995TeIn0.005,2.37,2.166955052,"['Pb', 'Te', 'In']",0.203044948
Cd4As2I3,0.85,0.786303035,"['Cd', 'As', 'I']",0.063696965
SmSe,2.3,1.168156259,"['Sm', 'Se']",1.131843741
InP,2.586515385,2.759478817,"['In', 'P']",-0.172963432
Sm4GaSbS9,1.67,1.530509669,"['Sm', 'Ga', 'Sb', 'S']",0.139490331
OsS2,1.8,0.674306883,"['Os', 'S']",1.125693117
BaIn2P4O14,4.1,3.5390089,"['Ba', 'In', 'P', 'O']",0.5609911
TlTiPS5,1.77,2.11773631,"['Tl', 'Ti', 'P', 'S']",-0.34773631
AgGaTe2,2.12,1.873997928,"['Ag', 'Ga', 'Te']",0.246002072
PbSe0.95S0.05,2.36,2.255670888,"['Pb', 'Se', 'S']",0.104329112
PrF3,3,3.066418645,"['Pr', 'F']",-0.066418645
Cu3HoSe3,2.88,2.135928551,"['Cu', 'Ho', 'Se']",0.744071449
GeS,3.7,3.60312949,"['Ge', 'S']",0.09687051
RbAg2TeS6,0.59,1.091135053,"['Rb', 'Ag', 'Te', 'S']",-0.501135053
Ho2O3,1.04,1.186825408,"['Ho', 'O']",-0.146825408
Cs4Ag9Sb4S12,1.5,2.225638301,"['Cs', 'Ag', 'Sb', 'S']",-0.725638301
Cu2Ta11O30,2.23,1.977621905,"['Cu', 'Ta', 'O']",0.252378095
KSi2P3,1,1.237086965,"['K', 'Si', 'P']",-0.237086965
In2As2O5Cl2,0.3,0.996263894,"['In', 'As', 'O', 'Cl']",-0.696263894
InSb2S4Cl,2.97,3.988258852,"['In', 'Sb', 'S', 'Cl']",-1.018258852
Eu3Sb4Se9,2.61,2.895361653,"['Eu', 'Sb', 'Se']",-0.285361653
Ga1.05Sb0.95Se0.15,3.25,2.744608127,"['Ga', 'Sb', 'Se']",0.505391873
Ba4Ga4SnSe12,1.36,2.091947156,"['Ba', 'Ga', 'Sn', 'Se']",-0.731947156
Cs3Bi2I9,1.2,1.161089136,"['Cs', 'Bi', 'I']",0.038910864
Bi1.6Te3Sb0.4,2.2,2.38264167,"['Bi', 'Te', 'Sb']",-0.18264167
GeO2,1.37,0.61329389,"['Ge', 'O']",0.75670611
Li6Al2Te8O22,0.236666667,0.365359098,"['Li', 'Al', 'Te', 'O']",-0.128692431
EuDy2Se4,0.37,0.391183108,"['Eu', 'Dy', 'Se']",-0.021183108
ErBiW2O9,2.9,2.566743203,"['Er', 'Bi', 'W', 'O']",0.333256797
Ca2SnS4,1.7,1.69031622,"['Ca', 'Sn', 'S']",0.00968378
KAg2SbS4,2.25,2.14545195,"['K', 'Ag', 'Sb', 'S']",0.10454805
Pb0.65Se0.65Sn0.35Te0.35,3.1,3.046034961,"['Pb', 'Se', 'Sn', 'Te']",0.053965039
GdAs,2.58,3.513412612,"['Gd', 'As']",-0.933412612
In0.5Ga0.5P,0.6,0.788406094,"['In', 'Ga', 'P']",-0.188406094
Na2B6O9F2,3.1,2.81851557,"['Na', 'B', 'O', 'F']",0.28148443
CBr4,0.7,0.847782738,"['C', 'Br']",-0.147782738
Cu0.15In1.85Se2.85,3.42,3.717127216,"['Cu', 'In', 'Se']",-0.297127216
Na0.75Eu1.625GeSe4,3.1,2.880884982,"['Na', 'Eu', 'Ge', 'Se']",0.219115018
Gd2S3,2.13,2.05986764,"['Gd', 'S']",0.07013236
Na2Hg3Sn2S8,2,1.726027664,"['Na', 'Hg', 'Sn', 'S']",0.273972336
BiI3,1.45,1.489598361,"['Bi', 'I']",-0.039598361
